address,area,jianzhu,link,name,num,price
北苑-五至六环,昌平,建筑年代：2006年 ~ 2010年,https://m.lianjia.com/bj/xiaoqu/1111027376257/,北苑家园望春园,18栋,57296元/平
苹果园-五至六环,昌平,建筑年代：1993年 ~ 2005年,https://m.lianjia.com/bj/xiaoqu/1111027375313/,海特花园小区,57栋,46591元/平
回龙观-五至六环,昌平,建筑年代：2013年 ~ 2016年,https://m.lianjia.com/bj/xiaoqu/1111047349969/,融泽嘉园,47栋,50919元/平
石佛营-四至五环,昌平,建筑年代：2004年 ~ 2004年,https://m.lianjia.com/bj/xiaoqu/1111027381237/,炫特嘉园二期,4栋,62326元/平
石佛营-四至五环,昌平,建筑年代：1981年 ~ 1998年,https://m.lianjia.com/bj/xiaoqu/1111027376016/,八里庄北里小区,43栋,56578元/平
回龙观-五至六环,昌平,建筑年代：1984年 ~ 2001年,https://m.lianjia.com/bj/xiaoqu/1111027377891/,龙华园,41栋,49035元/平
南沙滩-四至五环,昌平,建筑年代：1980年 ~ 1999年,https://m.lianjia.com/bj/xiaoqu/1111027378618/,南沙滩小区,51栋,68058元/平
和平里-二至三环,昌平,建筑年代：1979年 ~ 1992年,https://m.lianjia.com/bj/xiaoqu/1111027375663/,安外花园,10栋,101936元/平
回龙观-五至六环,昌平,建筑年代：2004年 ~ 2005年,https://m.lianjia.com/bj/xiaoqu/1111027377718/,龙博苑二区,17栋,52264元/平
安贞-二至三环,昌平,建筑年代：1979年 ~ 2001年,https://m.lianjia.com/bj/xiaoqu/1111027375606/,安华里社区,61栋,76256元/平
苹果园-五至六环,昌平,建筑年代：1972年 ~ 2000年,https://m.lianjia.com/bj/xiaoqu/1111027378718/,苹果园小区一区,28栋,49405元/平
劲松-二至三环,昌平,建筑年代：1991年 ~ 1999年,https://m.lianjia.com/bj/xiaoqu/1111027377364/,劲松南路,9栋,57504元/平
西三旗-五至六环,昌平,建筑年代：1993年 ~ 1999年,https://m.lianjia.com/bj/xiaoqu/1111027382146/,育新花园,55栋,73647元/平
望京-四至五环,昌平,建筑年代：1997年 ~ 2008年,https://m.lianjia.com/bj/xiaoqu/1111027380322/,望京西园一区,24栋,62161元/平
阜成门-二至三环,昌平,建筑年代：1992年 ~ 1995年,https://m.lianjia.com/bj/xiaoqu/1111027376012/,北露园,7栋,107993元/平
崇文门-二环内,昌平,建筑年代：2002年 ~ 2010年,https://m.lianjia.com/bj/xiaoqu/1111027380930/,新景家园东区,15栋,103602元/平
常营-五至六环,昌平,建筑年代：2004年 ~ 2007年,https://m.lianjia.com/bj/xiaoqu/1111027375966/,柏林爱乐二期,16栋,54461元/平
霍营-五至六环,昌平,建筑年代：1995年 ~ 2000年,https://m.lianjia.com/bj/xiaoqu/1111027375153/,华龙苑南里,30栋,49700元/平
小西天-二至三环,昌平,建筑年代：1979年 ~ 1996年,https://m.lianjia.com/bj/xiaoqu/1111027382609/,志强北园,29栋,80304元/平
陶然亭-二环内,昌平,建筑年代：2002年 ~ 2004年,https://m.lianjia.com/bj/xiaoqu/1111027376481/,畅柳园,9栋,100201元/平
车公庄-二至三环,昌平,建筑年代：1984年 ~ 1984年,https://m.lianjia.com/bj/xiaoqu/1111027380504/,文兴街2号院,1栋,98180元/平
长阳-五至六环,昌平,建筑年代：2007年 ~ 2011年,https://m.lianjia.com/bj/xiaoqu/1111027377579/,加州水郡三期,54栋,32801元/平
四惠-四至五环,昌平,建筑年代：2000年 ~ 2008年,https://m.lianjia.com/bj/xiaoqu/1111027379834/,壹线国际,14栋,62030元/平
古城-五至六环,昌平,建筑年代：1958年 ~ 2003年,https://m.lianjia.com/bj/xiaoqu/1111027374521/,古城南路,50栋,49120元/平
立水桥-五至六环,昌平,建筑年代：2010年 ~ 2010年,https://m.lianjia.com/bj/xiaoqu/1111027380623/,溪城家园,18栋,48161元/平
西坝河-三至四环,昌平,建筑年代：1980年 ~ 1998年,https://m.lianjia.com/bj/xiaoqu/1111027380576/,西坝河东里,64栋,69417元/平
青塔-四至五环,昌平,建筑年代：2010年 ~ 2011年,https://m.lianjia.com/bj/xiaoqu/1111027376986/,建邦枫景,10栋,53283元/平
玉泉营-三至四环,昌平,建筑年代：2008年 ~ 2008年,https://m.lianjia.com/bj/xiaoqu/1111027380388/,万年花城四期,11栋,65360元/平
岳各庄-四至五环,昌平,建筑年代：2000年 ~ 2012年,https://m.lianjia.com/bj/xiaoqu/1111027376775/,大成郡,48栋,76420元/平
顺义城-六环外,昌平,建筑年代：1991年 ~ 2010年,https://m.lianjia.com/bj/xiaoqu/1111027381324/,西辛南区,86栋,39980元/平
安贞-三至四环,昌平,建筑年代：1982年 ~ 2004年,https://m.lianjia.com/bj/xiaoqu/1111027375683/,安贞里,60栋,76387元/平
马家堡-三至四环,昌平,建筑年代：2005年 ~ 2005年,https://m.lianjia.com/bj/xiaoqu/1111027379036/,瑞丽江畔,6栋,57976元/平
天通苑-五至六环,昌平,建筑年代：2004年 ~ 2005年,https://m.lianjia.com/bj/xiaoqu/1111027380040/,天通苑北二区,45栋,37525元/平
和平里-二至三环,昌平,建筑年代：1958年 ~ 1995年,https://m.lianjia.com/bj/xiaoqu/1111027375203/,和平里七区,39栋,98085元/平
回龙观-五至六环,大兴,建筑年代：2006年 ~ 2007年,https://m.lianjia.com/bj/xiaoqu/1111027381003/,新龙城,41栋,52742元/平
鲁谷-四至五环,大兴,建筑年代：2003年 ~ 2008年,https://m.lianjia.com/bj/xiaoqu/1111027382209/,远洋山水,31栋,67150元/平
垡头-四至五环,大兴,建筑年代：2003年 ~ 2017年,https://m.lianjia.com/bj/xiaoqu/1111027376354/,翠成馨园,130栋,47830元/平
甘家口-二至三环,大兴,建筑年代：1977年 ~ 1977年,https://m.lianjia.com/bj/xiaoqu/1111027381360/,新苑街1号院,1栋,89948元/平
西三旗-五至六环,大兴,建筑年代：2009年 ~ 2009年,https://m.lianjia.com/bj/xiaoqu/1111027378909/,旗胜家园,18栋,45395元/平
芍药居-三至四环,大兴,建筑年代：1994年 ~ 2008年,https://m.lianjia.com/bj/xiaoqu/1111027379657/,芍药居北里,45栋,77382元/平
劲松-三至四环,大兴,建筑年代：1973年 ~ 2010年,https://m.lianjia.com/bj/xiaoqu/1111027378492/,农光里,85栋,59775元/平
西红门-六环外,大兴,建筑年代：2013年 ~ 2013年,https://m.lianjia.com/bj/xiaoqu/1120022458821147/,理想家园,12栋,35969元/平
常营-五至六环,大兴,建筑年代：1994年 ~ 2010年,https://m.lianjia.com/bj/xiaoqu/1111041688588/,住欣家园,15栋,41966元/平
常营-五至六环,大兴,建筑年代：2009年 ~ 2010年,https://m.lianjia.com/bj/xiaoqu/1111041899696/,金隅丽景园,9栋,43365元/平
劲松-三至四环,大兴,建筑年代：1980年 ~ 1998年,https://m.lianjia.com/bj/xiaoqu/1111027378489/,农光东里,30栋,60412元/平
鲁谷-四至五环,大兴,建筑年代：1950年 ~ 1994年,https://m.lianjia.com/bj/xiaoqu/1111027381852/,永乐东区,82栋,48957元/平
潘家园-三至四环,大兴,建筑年代：1985年 ~ 1998年,https://m.lianjia.com/bj/xiaoqu/1111027379691/,松榆西里,60栋,58791元/平
亚运村-四至五环,大兴,建筑年代：1990年 ~ 1999年,https://m.lianjia.com/bj/xiaoqu/1111027376953/,慧忠里,44栋,84817元/平
北苑-五至六环,大兴,建筑年代：2003年 ~ 2005年,https://m.lianjia.com/bj/xiaoqu/1111027376255/,北苑家园茉藜园,18栋,53314元/平
广安门-二至三环,大兴,建筑年代：2003年 ~ 2009年,https://m.lianjia.com/bj/xiaoqu/1111027378998/,荣丰2008,17栋,120611元/平
北苑-五至六环,大兴,建筑年代：2006年 ~ 2010年,https://m.lianjia.com/bj/xiaoqu/1111027376257/,北苑家园望春园,18栋,57296元/平
苹果园-五至六环,大兴,建筑年代：1993年 ~ 2005年,https://m.lianjia.com/bj/xiaoqu/1111027375313/,海特花园小区,57栋,46591元/平
回龙观-五至六环,大兴,建筑年代：2013年 ~ 2016年,https://m.lianjia.com/bj/xiaoqu/1111047349969/,融泽嘉园,47栋,50919元/平
石佛营-四至五环,大兴,建筑年代：2004年 ~ 2004年,https://m.lianjia.com/bj/xiaoqu/1111027381237/,炫特嘉园二期,4栋,62326元/平
石佛营-四至五环,大兴,建筑年代：1981年 ~ 1998年,https://m.lianjia.com/bj/xiaoqu/1111027376016/,八里庄北里小区,43栋,56578元/平
回龙观-五至六环,大兴,建筑年代：1984年 ~ 2001年,https://m.lianjia.com/bj/xiaoqu/1111027377891/,龙华园,41栋,49035元/平
南沙滩-四至五环,大兴,建筑年代：1980年 ~ 1999年,https://m.lianjia.com/bj/xiaoqu/1111027378618/,南沙滩小区,51栋,68058元/平
和平里-二至三环,大兴,建筑年代：1979年 ~ 1992年,https://m.lianjia.com/bj/xiaoqu/1111027375663/,安外花园,10栋,101936元/平
回龙观-五至六环,大兴,建筑年代：2004年 ~ 2005年,https://m.lianjia.com/bj/xiaoqu/1111027377718/,龙博苑二区,17栋,52264元/平
安贞-二至三环,大兴,建筑年代：1979年 ~ 2001年,https://m.lianjia.com/bj/xiaoqu/1111027375606/,安华里社区,61栋,76256元/平
苹果园-五至六环,大兴,建筑年代：1972年 ~ 2000年,https://m.lianjia.com/bj/xiaoqu/1111027378718/,苹果园小区一区,28栋,49405元/平
劲松-二至三环,大兴,建筑年代：1991年 ~ 1999年,https://m.lianjia.com/bj/xiaoqu/1111027377364/,劲松南路,9栋,57504元/平
西三旗-五至六环,大兴,建筑年代：1993年 ~ 1999年,https://m.lianjia.com/bj/xiaoqu/1111027382146/,育新花园,55栋,73647元/平
望京-四至五环,大兴,建筑年代：1997年 ~ 2008年,https://m.lianjia.com/bj/xiaoqu/1111027380322/,望京西园一区,24栋,62161元/平
阜成门-二至三环,大兴,建筑年代：1992年 ~ 1995年,https://m.lianjia.com/bj/xiaoqu/1111027376012/,北露园,7栋,107993元/平
崇文门-二环内,大兴,建筑年代：2002年 ~ 2010年,https://m.lianjia.com/bj/xiaoqu/1111027380930/,新景家园东区,15栋,103602元/平
常营-五至六环,大兴,建筑年代：2004年 ~ 2007年,https://m.lianjia.com/bj/xiaoqu/1111027375966/,柏林爱乐二期,16栋,54461元/平
霍营-五至六环,大兴,建筑年代：1995年 ~ 2000年,https://m.lianjia.com/bj/xiaoqu/1111027375153/,华龙苑南里,30栋,49700元/平
小西天-二至三环,大兴,建筑年代：1979年 ~ 1996年,https://m.lianjia.com/bj/xiaoqu/1111027382609/,志强北园,29栋,80304元/平
陶然亭-二环内,大兴,建筑年代：2002年 ~ 2004年,https://m.lianjia.com/bj/xiaoqu/1111027376481/,畅柳园,9栋,100201元/平
车公庄-二至三环,大兴,建筑年代：1984年 ~ 1984年,https://m.lianjia.com/bj/xiaoqu/1111027380504/,文兴街2号院,1栋,98180元/平
长阳-五至六环,大兴,建筑年代：2007年 ~ 2011年,https://m.lianjia.com/bj/xiaoqu/1111027377579/,加州水郡三期,54栋,32801元/平
四惠-四至五环,大兴,建筑年代：2000年 ~ 2008年,https://m.lianjia.com/bj/xiaoqu/1111027379834/,壹线国际,14栋,62030元/平
古城-五至六环,大兴,建筑年代：1958年 ~ 2003年,https://m.lianjia.com/bj/xiaoqu/1111027374521/,古城南路,50栋,49120元/平
立水桥-五至六环,大兴,建筑年代：2010年 ~ 2010年,https://m.lianjia.com/bj/xiaoqu/1111027380623/,溪城家园,18栋,48161元/平
西坝河-三至四环,大兴,建筑年代：1980年 ~ 1998年,https://m.lianjia.com/bj/xiaoqu/1111027380576/,西坝河东里,64栋,69417元/平
青塔-四至五环,大兴,建筑年代：2010年 ~ 2011年,https://m.lianjia.com/bj/xiaoqu/1111027376986/,建邦枫景,10栋,53283元/平
玉泉营-三至四环,大兴,建筑年代：2008年 ~ 2008年,https://m.lianjia.com/bj/xiaoqu/1111027380388/,万年花城四期,11栋,65360元/平
岳各庄-四至五环,大兴,建筑年代：2000年 ~ 2012年,https://m.lianjia.com/bj/xiaoqu/1111027376775/,大成郡,48栋,76420元/平
顺义城-六环外,大兴,建筑年代：1991年 ~ 2010年,https://m.lianjia.com/bj/xiaoqu/1111027381324/,西辛南区,86栋,39980元/平
安贞-三至四环,大兴,建筑年代：1982年 ~ 2004年,https://m.lianjia.com/bj/xiaoqu/1111027375683/,安贞里,60栋,76387元/平
马家堡-三至四环,大兴,建筑年代：2005年 ~ 2005年,https://m.lianjia.com/bj/xiaoqu/1111027379036/,瑞丽江畔,6栋,57976元/平
天通苑-五至六环,大兴,建筑年代：2004年 ~ 2005年,https://m.lianjia.com/bj/xiaoqu/1111027380040/,天通苑北二区,45栋,37525元/平
和平里-二至三环,大兴,建筑年代：1958年 ~ 1995年,https://m.lianjia.com/bj/xiaoqu/1111027375203/,和平里七区,39栋,98085元/平
回龙观-五至六环,亦庄开发区,建筑年代：2006年 ~ 2007年,https://m.lianjia.com/bj/xiaoqu/1111027381003/,新龙城,41栋,52742元/平
鲁谷-四至五环,亦庄开发区,建筑年代：2003年 ~ 2008年,https://m.lianjia.com/bj/xiaoqu/1111027382209/,远洋山水,31栋,67150元/平
垡头-四至五环,亦庄开发区,建筑年代：2003年 ~ 2017年,https://m.lianjia.com/bj/xiaoqu/1111027376354/,翠成馨园,130栋,47830元/平
甘家口-二至三环,亦庄开发区,建筑年代：1977年 ~ 1977年,https://m.lianjia.com/bj/xiaoqu/1111027381360/,新苑街1号院,1栋,89948元/平
西三旗-五至六环,亦庄开发区,建筑年代：2009年 ~ 2009年,https://m.lianjia.com/bj/xiaoqu/1111027378909/,旗胜家园,18栋,45395元/平
芍药居-三至四环,亦庄开发区,建筑年代：1994年 ~ 2008年,https://m.lianjia.com/bj/xiaoqu/1111027379657/,芍药居北里,45栋,77382元/平
劲松-三至四环,亦庄开发区,建筑年代：1973年 ~ 2010年,https://m.lianjia.com/bj/xiaoqu/1111027378492/,农光里,85栋,59775元/平
西红门-六环外,亦庄开发区,建筑年代：2013年 ~ 2013年,https://m.lianjia.com/bj/xiaoqu/1120022458821147/,理想家园,12栋,35969元/平
常营-五至六环,亦庄开发区,建筑年代：1994年 ~ 2010年,https://m.lianjia.com/bj/xiaoqu/1111041688588/,住欣家园,15栋,41966元/平
常营-五至六环,亦庄开发区,建筑年代：2009年 ~ 2010年,https://m.lianjia.com/bj/xiaoqu/1111041899696/,金隅丽景园,9栋,43365元/平
劲松-三至四环,亦庄开发区,建筑年代：1980年 ~ 1998年,https://m.lianjia.com/bj/xiaoqu/1111027378489/,农光东里,30栋,60412元/平
鲁谷-四至五环,亦庄开发区,建筑年代：1950年 ~ 1994年,https://m.lianjia.com/bj/xiaoqu/1111027381852/,永乐东区,82栋,48957元/平
潘家园-三至四环,亦庄开发区,建筑年代：1985年 ~ 1998年,https://m.lianjia.com/bj/xiaoqu/1111027379691/,松榆西里,60栋,58791元/平
亚运村-四至五环,亦庄开发区,建筑年代：1990年 ~ 1999年,https://m.lianjia.com/bj/xiaoqu/1111027376953/,慧忠里,44栋,84817元/平
北苑-五至六环,亦庄开发区,建筑年代：2003年 ~ 2005年,https://m.lianjia.com/bj/xiaoqu/1111027376255/,北苑家园茉藜园,18栋,53314元/平
广安门-二至三环,亦庄开发区,建筑年代：2003年 ~ 2009年,https://m.lianjia.com/bj/xiaoqu/1111027378998/,荣丰2008,17栋,120611元/平
北苑-五至六环,亦庄开发区,建筑年代：2006年 ~ 2010年,https://m.lianjia.com/bj/xiaoqu/1111027376257/,北苑家园望春园,18栋,57296元/平
苹果园-五至六环,亦庄开发区,建筑年代：1993年 ~ 2005年,https://m.lianjia.com/bj/xiaoqu/1111027375313/,海特花园小区,57栋,46591元/平
回龙观-五至六环,亦庄开发区,建筑年代：2013年 ~ 2016年,https://m.lianjia.com/bj/xiaoqu/1111047349969/,融泽嘉园,47栋,50919元/平
石佛营-四至五环,亦庄开发区,建筑年代：2004年 ~ 2004年,https://m.lianjia.com/bj/xiaoqu/1111027381237/,炫特嘉园二期,4栋,62326元/平
石佛营-四至五环,亦庄开发区,建筑年代：1981年 ~ 1998年,https://m.lianjia.com/bj/xiaoqu/1111027376016/,八里庄北里小区,43栋,56578元/平
回龙观-五至六环,亦庄开发区,建筑年代：1984年 ~ 2001年,https://m.lianjia.com/bj/xiaoqu/1111027377891/,龙华园,41栋,49035元/平
南沙滩-四至五环,亦庄开发区,建筑年代：1980年 ~ 1999年,https://m.lianjia.com/bj/xiaoqu/1111027378618/,南沙滩小区,51栋,68058元/平
和平里-二至三环,亦庄开发区,建筑年代：1979年 ~ 1992年,https://m.lianjia.com/bj/xiaoqu/1111027375663/,安外花园,10栋,101936元/平
回龙观-五至六环,亦庄开发区,建筑年代：2004年 ~ 2005年,https://m.lianjia.com/bj/xiaoqu/1111027377718/,龙博苑二区,17栋,52264元/平
安贞-二至三环,亦庄开发区,建筑年代：1979年 ~ 2001年,https://m.lianjia.com/bj/xiaoqu/1111027375606/,安华里社区,61栋,76256元/平
苹果园-五至六环,亦庄开发区,建筑年代：1972年 ~ 2000年,https://m.lianjia.com/bj/xiaoqu/1111027378718/,苹果园小区一区,28栋,49405元/平
劲松-二至三环,亦庄开发区,建筑年代：1991年 ~ 1999年,https://m.lianjia.com/bj/xiaoqu/1111027377364/,劲松南路,9栋,57504元/平
西三旗-五至六环,亦庄开发区,建筑年代：1993年 ~ 1999年,https://m.lianjia.com/bj/xiaoqu/1111027382146/,育新花园,55栋,73647元/平
望京-四至五环,亦庄开发区,建筑年代：1997年 ~ 2008年,https://m.lianjia.com/bj/xiaoqu/1111027380322/,望京西园一区,24栋,62161元/平
阜成门-二至三环,亦庄开发区,建筑年代：1992年 ~ 1995年,https://m.lianjia.com/bj/xiaoqu/1111027376012/,北露园,7栋,107993元/平
崇文门-二环内,亦庄开发区,建筑年代：2002年 ~ 2010年,https://m.lianjia.com/bj/xiaoqu/1111027380930/,新景家园东区,15栋,103602元/平
常营-五至六环,亦庄开发区,建筑年代：2004年 ~ 2007年,https://m.lianjia.com/bj/xiaoqu/1111027375966/,柏林爱乐二期,16栋,54461元/平
霍营-五至六环,亦庄开发区,建筑年代：1995年 ~ 2000年,https://m.lianjia.com/bj/xiaoqu/1111027375153/,华龙苑南里,30栋,49700元/平
小西天-二至三环,亦庄开发区,建筑年代：1979年 ~ 1996年,https://m.lianjia.com/bj/xiaoqu/1111027382609/,志强北园,29栋,80304元/平
陶然亭-二环内,亦庄开发区,建筑年代：2002年 ~ 2004年,https://m.lianjia.com/bj/xiaoqu/1111027376481/,畅柳园,9栋,100201元/平
车公庄-二至三环,亦庄开发区,建筑年代：1984年 ~ 1984年,https://m.lianjia.com/bj/xiaoqu/1111027380504/,文兴街2号院,1栋,98180元/平
长阳-五至六环,亦庄开发区,建筑年代：2007年 ~ 2011年,https://m.lianjia.com/bj/xiaoqu/1111027377579/,加州水郡三期,54栋,32801元/平
四惠-四至五环,亦庄开发区,建筑年代：2000年 ~ 2008年,https://m.lianjia.com/bj/xiaoqu/1111027379834/,壹线国际,14栋,62030元/平
古城-五至六环,亦庄开发区,建筑年代：1958年 ~ 2003年,https://m.lianjia.com/bj/xiaoqu/1111027374521/,古城南路,50栋,49120元/平
立水桥-五至六环,亦庄开发区,建筑年代：2010年 ~ 2010年,https://m.lianjia.com/bj/xiaoqu/1111027380623/,溪城家园,18栋,48161元/平
西坝河-三至四环,亦庄开发区,建筑年代：1980年 ~ 1998年,https://m.lianjia.com/bj/xiaoqu/1111027380576/,西坝河东里,64栋,69417元/平
青塔-四至五环,亦庄开发区,建筑年代：2010年 ~ 2011年,https://m.lianjia.com/bj/xiaoqu/1111027376986/,建邦枫景,10栋,53283元/平
玉泉营-三至四环,亦庄开发区,建筑年代：2008年 ~ 2008年,https://m.lianjia.com/bj/xiaoqu/1111027380388/,万年花城四期,11栋,65360元/平
岳各庄-四至五环,亦庄开发区,建筑年代：2000年 ~ 2012年,https://m.lianjia.com/bj/xiaoqu/1111027376775/,大成郡,48栋,76420元/平
顺义城-六环外,亦庄开发区,建筑年代：1991年 ~ 2010年,https://m.lianjia.com/bj/xiaoqu/1111027381324/,西辛南区,86栋,39980元/平
安贞-三至四环,亦庄开发区,建筑年代：1982年 ~ 2004年,https://m.lianjia.com/bj/xiaoqu/1111027375683/,安贞里,60栋,76387元/平
马家堡-三至四环,亦庄开发区,建筑年代：2005年 ~ 2005年,https://m.lianjia.com/bj/xiaoqu/1111027379036/,瑞丽江畔,6栋,57976元/平
天通苑-五至六环,亦庄开发区,建筑年代：2004年 ~ 2005年,https://m.lianjia.com/bj/xiaoqu/1111027380040/,天通苑北二区,45栋,37525元/平
和平里-二至三环,亦庄开发区,建筑年代：1958年 ~ 1995年,https://m.lianjia.com/bj/xiaoqu/1111027375203/,和平里七区,39栋,98085元/平
回龙观-五至六环,顺义,建筑年代：2006年 ~ 2007年,https://m.lianjia.com/bj/xiaoqu/1111027381003/,新龙城,41栋,52742元/平
鲁谷-四至五环,顺义,建筑年代：2003年 ~ 2008年,https://m.lianjia.com/bj/xiaoqu/1111027382209/,远洋山水,31栋,67150元/平
垡头-四至五环,顺义,建筑年代：2003年 ~ 2017年,https://m.lianjia.com/bj/xiaoqu/1111027376354/,翠成馨园,130栋,47830元/平
甘家口-二至三环,顺义,建筑年代：1977年 ~ 1977年,https://m.lianjia.com/bj/xiaoqu/1111027381360/,新苑街1号院,1栋,89948元/平
西三旗-五至六环,顺义,建筑年代：2009年 ~ 2009年,https://m.lianjia.com/bj/xiaoqu/1111027378909/,旗胜家园,18栋,45395元/平
芍药居-三至四环,顺义,建筑年代：1994年 ~ 2008年,https://m.lianjia.com/bj/xiaoqu/1111027379657/,芍药居北里,45栋,77382元/平
劲松-三至四环,顺义,建筑年代：1973年 ~ 2010年,https://m.lianjia.com/bj/xiaoqu/1111027378492/,农光里,85栋,59775元/平
西红门-六环外,顺义,建筑年代：2013年 ~ 2013年,https://m.lianjia.com/bj/xiaoqu/1120022458821147/,理想家园,12栋,35969元/平
常营-五至六环,顺义,建筑年代：1994年 ~ 2010年,https://m.lianjia.com/bj/xiaoqu/1111041688588/,住欣家园,15栋,41966元/平
常营-五至六环,顺义,建筑年代：2009年 ~ 2010年,https://m.lianjia.com/bj/xiaoqu/1111041899696/,金隅丽景园,9栋,43365元/平
劲松-三至四环,顺义,建筑年代：1980年 ~ 1998年,https://m.lianjia.com/bj/xiaoqu/1111027378489/,农光东里,30栋,60412元/平
鲁谷-四至五环,顺义,建筑年代：1950年 ~ 1994年,https://m.lianjia.com/bj/xiaoqu/1111027381852/,永乐东区,82栋,48957元/平
潘家园-三至四环,顺义,建筑年代：1985年 ~ 1998年,https://m.lianjia.com/bj/xiaoqu/1111027379691/,松榆西里,60栋,58791元/平
亚运村-四至五环,顺义,建筑年代：1990年 ~ 1999年,https://m.lianjia.com/bj/xiaoqu/1111027376953/,慧忠里,44栋,84817元/平
北苑-五至六环,顺义,建筑年代：2003年 ~ 2005年,https://m.lianjia.com/bj/xiaoqu/1111027376255/,北苑家园茉藜园,18栋,53314元/平
广安门-二至三环,顺义,建筑年代：2003年 ~ 2009年,https://m.lianjia.com/bj/xiaoqu/1111027378998/,荣丰2008,17栋,120611元/平
北苑-五至六环,顺义,建筑年代：2006年 ~ 2010年,https://m.lianjia.com/bj/xiaoqu/1111027376257/,北苑家园望春园,18栋,57296元/平
苹果园-五至六环,顺义,建筑年代：1993年 ~ 2005年,https://m.lianjia.com/bj/xiaoqu/1111027375313/,海特花园小区,57栋,46591元/平
回龙观-五至六环,顺义,建筑年代：2013年 ~ 2016年,https://m.lianjia.com/bj/xiaoqu/1111047349969/,融泽嘉园,47栋,50919元/平
石佛营-四至五环,顺义,建筑年代：2004年 ~ 2004年,https://m.lianjia.com/bj/xiaoqu/1111027381237/,炫特嘉园二期,4栋,62326元/平
石佛营-四至五环,顺义,建筑年代：1981年 ~ 1998年,https://m.lianjia.com/bj/xiaoqu/1111027376016/,八里庄北里小区,43栋,56578元/平
回龙观-五至六环,顺义,建筑年代：1984年 ~ 2001年,https://m.lianjia.com/bj/xiaoqu/1111027377891/,龙华园,41栋,49035元/平
南沙滩-四至五环,顺义,建筑年代：1980年 ~ 1999年,https://m.lianjia.com/bj/xiaoqu/1111027378618/,南沙滩小区,51栋,68058元/平
和平里-二至三环,顺义,建筑年代：1979年 ~ 1992年,https://m.lianjia.com/bj/xiaoqu/1111027375663/,安外花园,10栋,101936元/平
回龙观-五至六环,顺义,建筑年代：2004年 ~ 2005年,https://m.lianjia.com/bj/xiaoqu/1111027377718/,龙博苑二区,17栋,52264元/平
安贞-二至三环,顺义,建筑年代：1979年 ~ 2001年,https://m.lianjia.com/bj/xiaoqu/1111027375606/,安华里社区,61栋,76256元/平
苹果园-五至六环,顺义,建筑年代：1972年 ~ 2000年,https://m.lianjia.com/bj/xiaoqu/1111027378718/,苹果园小区一区,28栋,49405元/平
劲松-二至三环,顺义,建筑年代：1991年 ~ 1999年,https://m.lianjia.com/bj/xiaoqu/1111027377364/,劲松南路,9栋,57504元/平
西三旗-五至六环,顺义,建筑年代：1993年 ~ 1999年,https://m.lianjia.com/bj/xiaoqu/1111027382146/,育新花园,55栋,73647元/平
望京-四至五环,顺义,建筑年代：1997年 ~ 2008年,https://m.lianjia.com/bj/xiaoqu/1111027380322/,望京西园一区,24栋,62161元/平
阜成门-二至三环,顺义,建筑年代：1992年 ~ 1995年,https://m.lianjia.com/bj/xiaoqu/1111027376012/,北露园,7栋,107993元/平
崇文门-二环内,顺义,建筑年代：2002年 ~ 2010年,https://m.lianjia.com/bj/xiaoqu/1111027380930/,新景家园东区,15栋,103602元/平
常营-五至六环,顺义,建筑年代：2004年 ~ 2007年,https://m.lianjia.com/bj/xiaoqu/1111027375966/,柏林爱乐二期,16栋,54461元/平
霍营-五至六环,顺义,建筑年代：1995年 ~ 2000年,https://m.lianjia.com/bj/xiaoqu/1111027375153/,华龙苑南里,30栋,49700元/平
小西天-二至三环,顺义,建筑年代：1979年 ~ 1996年,https://m.lianjia.com/bj/xiaoqu/1111027382609/,志强北园,29栋,80304元/平
陶然亭-二环内,顺义,建筑年代：2002年 ~ 2004年,https://m.lianjia.com/bj/xiaoqu/1111027376481/,畅柳园,9栋,100201元/平
车公庄-二至三环,顺义,建筑年代：1984年 ~ 1984年,https://m.lianjia.com/bj/xiaoqu/1111027380504/,文兴街2号院,1栋,98180元/平
长阳-五至六环,顺义,建筑年代：2007年 ~ 2011年,https://m.lianjia.com/bj/xiaoqu/1111027377579/,加州水郡三期,54栋,32801元/平
四惠-四至五环,顺义,建筑年代：2000年 ~ 2008年,https://m.lianjia.com/bj/xiaoqu/1111027379834/,壹线国际,14栋,62030元/平
古城-五至六环,顺义,建筑年代：1958年 ~ 2003年,https://m.lianjia.com/bj/xiaoqu/1111027374521/,古城南路,50栋,49120元/平
立水桥-五至六环,顺义,建筑年代：2010年 ~ 2010年,https://m.lianjia.com/bj/xiaoqu/1111027380623/,溪城家园,18栋,48161元/平
西坝河-三至四环,顺义,建筑年代：1980年 ~ 1998年,https://m.lianjia.com/bj/xiaoqu/1111027380576/,西坝河东里,64栋,69417元/平
青塔-四至五环,顺义,建筑年代：2010年 ~ 2011年,https://m.lianjia.com/bj/xiaoqu/1111027376986/,建邦枫景,10栋,53283元/平
玉泉营-三至四环,顺义,建筑年代：2008年 ~ 2008年,https://m.lianjia.com/bj/xiaoqu/1111027380388/,万年花城四期,11栋,65360元/平
岳各庄-四至五环,顺义,建筑年代：2000年 ~ 2012年,https://m.lianjia.com/bj/xiaoqu/1111027376775/,大成郡,48栋,76420元/平
顺义城-六环外,顺义,建筑年代：1991年 ~ 2010年,https://m.lianjia.com/bj/xiaoqu/1111027381324/,西辛南区,86栋,39980元/平
